"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","04","20","2","20231111231257-B02_A02_Weis.pdf","20231121215018"
"GdP23","02","08","15","4","20231112045338-Zahlen.fs","20231112045506"
"GdP23","02","07","9","4","20231112121502-Zahlen Berkay Kurtkaya.fs","20231112121846"
"GdP23","02","07","9","4","20231112121856-Zahlen Berkay Kurtkaya 2.fs","20231112122217"
"GdP23","02","07","9","4","20231112122232-Zahlen Berkay.fs","20231112122639"
"GdP23","02","07","9","4","20231112122649-Zahlen Berkay 2.fs","20231112124743"
"GdP23","02","03","10","4","20231112122729-Zahlen.fs","20231112122904"
"GdP23","02","03","10","4","20231112123710-Zahlen.fs","20231112125803"
"GdP23","02","07","9","4","20231112124750-Zahlen.fs Berkay Kurtkaya.fs","20231112124927"
"GdP23","02","03","10","4","20231112130043-Zahlen.fs","20231112130152"
"GdP23","02","07","9","4","20231112135109-Zahlen.fs Berkay Kurtkaya 2.fs","20231112140558"
"GdP23","02","07","9","4","20231112140614-Zahlen.fs","20231112140648"
"GdP23","02","07","9","4","20231112140614-Mini.fs","20231112140646"
"GdP23","02","07","9","4","20231112140614-Zahlen.fsproj","20231112140650"
"GdP23","02","07","9","4","20231112140743-Mini.fs","20231112140811"
"GdP23","02","07","9","4","20231112140743-Zahlen.fs","20231112140808"
"GdP23","02","01","14","4","20231112152939-Zahlen.fs","20231112153204"
"GdP23","02","06","3","2","20231112154248-Übung2_2abgabe_GdP.pdf","20231112155515"
"GdP23","02","05","5","4","20231112154710-Zahlen.fs","20231112161945"
"GdP23","02","05","5","4","20231112162915-Aufgabe 4.fs","20231113110822"
"GdP23","02","05","20","2","20231112165900-Jennifer-Rautenberg-GdP-Übung1-Aufgabe2.pdf","20231112170033"
"GdP23","02","07","5","3","20231112170034-Aufgabe-3-Mohamed-Amine-Dhouib.pdf","20231113210730"
"GdP23","02","07","5","4","20231112170111-Zahlen-Mohamed-Amine-Dhouib.fs","20231113210722"
"GdP23","02","02","19","4","20231112171108-Zahlen.fs","20231112171332"
"GdP23","02","02","20","4","20231112172016-Zahlen.fs","20231112172200"
"GdP23","02","05","17","4","20231112175028-Zahlen.fs","20231112175421"
"GdP23","02","05","17","3","20231112175426-Zahlen.fs","20231112175529"
"GdP23","02","05","17","4","20231112175448-Zahlen.fs","20231112175637"
"GdP23","02","05","17","4","20231112175642-Zahlen.fs","20231112180502"
"GdP23","02","05","4","4","20231112180209-Zahlen.fs","20231112235852"
"GdP23","02","06","6","4","20231112180843-Zahlen.fs","20240307192142"
"GdP23","02","05","1","4","20231112180951-Zahlen.fs","20231112181115"
"GdP23","02","05","1","4","20231112181123-Zahlen.fs","20231112181225"
"GdP23","02","05","1","4","20231112181919-Zahlen.fs","20231114154342"
"GdP23","02","06","12","4","20231112182330-Zahlen.fs","20231112183624"
"GdP23","02","03","12","4","20231112183308-Mini.fs","20231112183406"
